MANAYUNK POST OFFICE,4431 MAIN ST
MANDELL THEATER,3401-99 SPRUCE ST
MANDEVILLE HALL,5700-30 CITY AVE
MANNA OUTREACH WORSHIP CENTER,6130 LANSDOWNE AVE
MANTON STREET GARDEN,1216 S 4TH ST
MANTON STREET PARK,405-11 MANTON ST
MANTUA COMMUNITY GARDEN,520 N 34TH ST
MANTUA JAMES L WRIGHT RECREATION CENTER BUILDING,3320-50 HAVERFORD AVE
MARANATHA BAPTIST CHURCH,4525 COMLY ST
MARCONI PLAZA,2700 S BROAD ST
MARCONI PLAZA,2701 S BROAD ST
MARCONI PLAZA BOCCE COURTS BUILDING,2701 S BROAD ST
MARCUS FOSTER MEMORIAL STADIUM,1601 W HUNTING PARK AVE
MARIA DE LOS SANTOS HEALTH CENTER,401-55 W ALLEGHENY AVE
MARIAN ANDERSON RECREATION CENTER,740 S 17TH ST
MARIAN ANDERSON RECREATION CENTER BUILDING,740 S 17TH ST
MARIAN HALL,9801 FRANKFORD AVE
MARIANA BRACETTI ACADEMY CHARTER SCHOOL,3900 JASPER ST
MARINER HALL,2035 S COLLEGE AVE
MARIO LANZA INSTITUTE,710-20 MONTROSE ST
MARIO LANZA PARK,214 CATHARINE ST
MARITIME ACADEMY CHARTER HIGH SCHOOL,2700 E HUNTINGDON ST
MARITIME ACADEMY CHARTER SCHOOL,2275 BRIDGE ST
MARKET FRANKFORD EL STATION - ALLEGHENY,KENSINGTON AVE & ALLEGHENY AVENUES
MARKET FRANKFORD EL STATION - BERKS,FRONT & BERKS STREETS
MARKET FRANKFORD EL STATION - CHURCH,FRANKFORD AVE & CHURCH ST
MARKET FRANKFORD EL STATION - GIRARD,FRONT ST & GIRARD AVE
MARKET FRANKFORD EL STATION - HUNTINGDON,KENSINGTON AVE & HUNTINGDON ST
MARKET FRANKFORD EL STATION - MARGARET/ORTHODOX,FRANKFORD AVE & MARGARET ST
MARKET FRANKFORD EL STATION - SOMERSET,KENSINGTON AVE & SOMERSET ST
MARKET FRANKFORD EL STATION - TIOGA,KENSINGTON AVE & TIOGA ST
MARKET FRANKFORD EL STATION - YORK/DAUPHIN,FRONT & YORK STREETS
MARKET GARDEN FARM,101 SPRING LN
MARKET PLACE EAST SHOPPING CENTER,701-39 MARKET ST
MARKET SQUARE,5501 GERMANTOWN AVE
MARKET SQUARE PLAZA,7700-80 CRITTENDEN ST
MARKET SQUARE STATION POST OFFICE,7782 CRITTENDEN ST
MARKET SQUARE WAR MEMORIAL,5501 GERMANTOWN AVE
MARKWARD PLAYGROUND,338-46 S 26TH ST
MARKWARD PLAYGROUND BUILDING,338-46 S 26TH ST
MARLBOROUGH STREET MEMORIAL,1101 MARLBOROUGH ST
MARQUIS DE LAFAYETTE,2500 SPRING GARDEN ST
MARRIOTT,1201 MARKET ST
MARTHA WASHINGTON SCHOOL,728-62 N 44TH ST
MARTIN BUILDING,800-34 WALNUT ST
MARTIN LUTHER KING JR ADULT CENTER,2101-35 CECIL B MOORE AVE
MARTIN LUTHER KING JR HIGH SCHOOL,6000 STENTON AVE
MARTIN LUTHER KING JR RECREATION CENTER,2101-35 CECIL B MOORE AVE
MARTINO HALL,9701 GERMANTOWN AVE
MARY MCLEOD BETHUNE SCHOOL,3303-61 OLD YORK RD
MARY AND FRANCIS WISTER HOUSE,625-35 E WISTER ST
MASDJID ER-RAHMANE,2613 S 78TH ST
MASJID AHLIL HADEETH,6711-25 WOODLAND AVE
MASJID AHLUS-SUNNAH WAL-JAMMAH,2400 S 63RD ST
MASJID AL-FURQAN,7252 E ROOSEVELT BLVD
MASJID AL-JAMIA,4228-48 WALNUT ST
MASJID ALBANI,157 W GIRARD AVE
MASJID MUHAMMAD,414 E PENN ST
MASJID MUJAHIDEEN,435 S 60TH ST
MASJID MUQBIL BIN HADEE,2735 W ALLEGHENY AVE
MASJID QUBA,4637 LANCASTER AVE
MASJID SALAAM,4101 W GIRARD AVE
MASJIDULLAH,7401-27 LIMEKILN PIKE
MASJIDULLAH,7700-02 OGONTZ AVE
MASJIDULLAH EARLY CHILD CARE ACADEMY,7401-27 LIMEKILN PIKE
MASONIC TEMPLE,33 N BROAD ST
MASTBAUM AREA VOCATIONAL TECHNICAL SCHOOL,3116 FRANKFORD AVE
MASTERY CHARTER SCHOOL AT CLYMER SCHOOL,2814-28 N 12TH ST
MASTERY CHARTER SCHOOL AT GRATZ HIGH SCHOOL,3901-61 N 18TH ST
MASTERY CHARTER SCHOOL AT HARRITY SCHOOL,5601 CHRISTIAN ST
MASTERY CHARTER SCHOOL AT MANN ELEMENTARY SCHOOL,1835-69 N 54TH ST
MASTERY CHARTER SCHOOL AT SHOEMAKER MIDDLE SCHOOL,1464-88 N 53RD ST
MASTERY CHARTER SCHOOL AT SMEDLEY ELEMENTARY SCHOOL,5199 MULBERRY ST
MASTERY CHARTER SCHOOL-PICKETT CAMPUS,5700 WAYNE AVE
MASTERY CHRTER SCHOOL,5600 CHESTER AVE
MATERNITY BVM CHURCH,9218 OLD BUSTLETON AVE
MATERNITY BVM SCHOOL,9304 OLD BUSTLETON AVE
MATTHEWS J. RYAN VETERINARY HOSPITAL OF THE UOFP,3401-99 SPRUCE ST
MATTHIAS BALDWIN PARK,423-33 N 19TH ST
MAX MYERS PLAYGROUND,1601 HELLERMAN ST
MAX MYERS PLAYGROUND FIELD BUILDING,1601 HELLERMAN ST
MAX MYERS PLAYGROUND POOL BUILDING,1601 HELLERMAN ST
MAX MYERS PLAYGROUND RECREATION BUILDING,1601 HELLERMAN ST
MAYER RESIDENCE HALL,3401-99 SPRUCE ST
MAYES COLLEGE,4201-47 WOODLAND AVE
MAYFAIR ANIMAL CLINIC,2900 HELLERMAN ST
MAYFAIR ES,2901 PRINCETON AVE
MAYFAIR PLAYGROUND,2901 PRINCETON AVE
MAYFAIR PLAYGROUND BUILDING 1,2901 PRINCETON AVE
MAYFAIR PLAYGROUND BUILDING 2,2901 PRINCETON AVE
MAYFAIR POST OFFICE,7303 FRANKFORD AVE
MAYFAIR PRESBYTERIAN CHURCH,3323 TUDOR ST
MAYFAIR SHOPPING CENTER,6410-42 FRANKFORD AVE
MCARDLE RECREATION CENTER,8930 ASHTON RD
MCCALLUM ASSISTED LIVING FACILITY,7141 MCCALLUM ST
MCCARTHY STADIUM EAST STANDS,625-35 E WISTER ST
MCCARTHY STADIUM WEST STANDS,625-35 E WISTER ST
MCCREESH PLAYGROUND,6744 REGENT ST
MCDANIEL DELAPLAINE SCHOOL,1901 S 23RD ST
MCDEVITT RECREATION CENTER,3500 CRAWFORD ST
MCILVAIN PLAYGROUND,5200 N PENN ST
MCKEOWN'S PLAZA,6800-58 RISING SUN AVE
MCMICHAEL PARK,3201-45 MIDVALE AVE
MCNEIL AVIAN CENTER,3400 W GIRARD AVE
MCNEIL BUILDING,3401-99 SPRUCE ST
MCNEIL EARLY AMERICAN,3401-99 SPRUCE ST
MCNEIL GRADUATE STUDY AND RESEARCH CENTER,4201-47 WOODLAND AVE
MCNEIL SCIENCE AND TECHNOLOGY CENTER (MCNEIL STC),4201-47 WOODLAND AVE
MCPHERSON SQUARE,601 E INDIANA AVE
MCPHERSON SQUARE LIBRARY BRANCH,601 E INDIANA AVE
MCVEIGH RECREATION CENTER,400-64 E ONTARIO ST
MCCREESH PLAYGROUND BUILDING,6744 REGENT ST
MCDEVITT RECREATION CENTER BUILDING,3500 CRAWFORD ST
MCILVAIN PLAYGROUND CONCESSIONS BUILDING,5200 N PENN ST
MCILVAIN PLAYGROUND RECREATION BUILDING,5200 N PENN ST
MCVEIGH RECREATION CENTER BUILDING,400-64 E ONTARIO ST
MECHANICAL SCHOOL,2035 S COLLEGE AVE
MEDAILLE SPIRITUALITY CENTER,9701 GERMANTOWN AVE
MEDIATOR LUTHERAN CHURCH,2832-44 N 28TH ST
MEDICAL ARTS CENTER,8400 E ROOSEVELT BLVD
MEDICAL BUILDING,1809-13 OREGON AVE
MEDICAL CENTER,7904-10 BUSTLETON AVE
MEDICAL CENTER,8015-21 FRANKFORD AVE
MEDICAL EXAMINER OFFICE / AIR MANGEMENT / ENVIRONMENTAL HEALTH LABS,400 UNIVERSITY AVE
MEDICAL MISSION SISTERS,8400 PINE RD
MEDICAL OFFICE BUILDING,3800 POWELTON AVE
MEDICAL OFFICE BUILDING,625-35 E WISTER ST
MEDITATION PARK,2520 N ALDER ST
MEMORABLE MOMENTS,1555 N 60TH ST
MEMORABLE MOMENTS LEARNING CENTER,7602 OGONTZ AVE
MEMORIAL BAPTIST CHURCH,5301 WAYNE AVE
MEMORIAL CHURCH OF THE GOOD SHEPHERD,3816 THE OAK RD
MEMORIAL GOSPEL CRUSADE,6224-30 MARKET ST
MEMORIAL JAMES W. QUEEN,1309-19 S 33RD ST
MEMORIAL PAL FRANKFORD,4257 FRANKFORD AVE
MEMPHIS STREET ACADEMY CS @ JP JONES SCHOOL,2922 MEMPHIS ST
MERCHANT HALL,2035 S COLLEGE AVE
MERCHANTS EXCHANGE BUILDING,131-33 S 3RD ST
MERCURY PARRISH,2715 S 73RD ST
MERCY HEALTH ASSOCIATES,5616-36 CHESTNUT ST
MERCY LIFE,3240-64 N HANCOCK ST
MERCY NEIGHBORHOOD MINISTRIES,1939 W VENANGO ST
MERCY PHILADELPHIA HOSPITAL,5301 CEDAR AVE
MERCY VOCATIONAL HIGH SCHOOL,2901 W ALLEGHENY AVE
MERION GARDENS,5700-30 CITY AVE
MERRIAM THEATER,300-18 S BROAD ST
MERRITT SQUARE PARK,1321 STEINBER ST
MESSIAH COLLEGE,1801 N BROAD ST
MESSIAH MARANATHA CHURCH,3610-14 N 15TH ST
METHODIST SERVICES FOR CHILDREN AND FAMILIES KINDERGARTEN,4300 MONUMENT RD
METROPOLITAN BAPTIST CHURCH,3500 BARING ST
MEYERSON HALL,3401-99 SPRUCE ST
MICHAEL J. HAGAN ?85 ARENA / CASCIATO BASKETBALL PRACTICE FACILITY / RAMSAY BASKETBALL CENTER / MAGUIRE POOL,5700-30 CITY AVE
MICHAEL J. MORRIS QUAD TOWNHOUSES,5700-30 CITY AVE
MICROBIOLOGY AND IMMUNOLOGY,2900 W QUEEN LN
MIDDLE CITY POST OFFICE,2037-39 CHESTNUT ST
MIDDLE YEARS ALTERNATIVE MIDDLE SCHOOL,701-41 N 48TH ST
MIFFLIN SQUARE,500 WOLF ST
MIKVEH ASSOCIATION OF PHILADELPHIA,7525 LORETTO AVE
MIKVEH ISRAEL CEMETERY,823-27 SPRUCE ST
MILES MACK PLAYGROUND,732-66 N 36TH ST
MILL CREEK PLAYGROUND,743-81 N 48TH ST
MILL CREEK PLAYGROUND BUILDING,743-81 N 48TH ST
MILLCREEK BAPTIST CHURCH,641 N PRESTON ST
MILLENNIUM BAPTIST CHURCH,1630 N 52ND ST
MILLER MEMORIAL BAPTIST CHURCH,1512-22 N 22ND ST
MINER,KELLY DR
MINISTERIO LA LUZ DEL MUNDO,2733-35 N 12TH ST
MINISTERIO PENTECOSTE'S,3010-18 E ST
MINISTERIO DE DIOS UN NVO RNACER EN CRISTO,1960 N 6TH ST
MINISTERIOS EVANGELISTICO,2544-46 N FAIRHILL ST
MINT BUILDING,1600 SPRING GARDEN ST
MIRACLE CHRISTIAN CENTER,4555-59 GERMANTOWN AVE
MIRACLE REVIVAL DELIVERANCE CHURCH,845 N 15TH ST
MIRACLE TEMPLE,2600 TASKER ST
MIRACLE TEMPLE-CHRIST DAYCARE,2604-08 TASKER ST
MIRACULOUS MEDAL FAMILY CENTRAL ASSOCIATION,427-43 E CHELTEN AVE
MISHKAN SHALOM SYNAGOGUE,4105 FREELAND AVE
MISION MISIONERA MACEDONIA,3401 N 7TH ST
MISS MARTYS PRESCHOOL,6027-33 GERMANTOWN AVE
MISSIONARY CHURCH OF CHRIST,2427-29 N 4TH ST
MISSIONARY SERVANTS CAMPUS,3401 SOLLY AVE
MISSIONARY SERVANTS CHURCH,3401 SOLLY AVE
MITCHELL BAPTIST CHURCH,1400 N 29TH ST
MITCHELL PLAYGROUND,3694 CHESTERFIELD RD
MITCHELL THOMAS PLAYGROUND BUILDING,3694 CHESTERFIELD RD
MITCHELL AND HILARIE MORGAN HALL AND DINING COMPLEX,1801 N BROAD ST
MITTEN HALL,1801 N BROAD ST
MIZPAH 7TH DAY ADVENTIST,4357 PAUL ST
MODULE 6 RETAIL,3401-99 SPRUCE ST
MODULE 7,3401-99 SPRUCE ST
MOLLBORE TERRACE & 12TH ST,1226 MOLLBORE TER
MOLLBORE TERRACE & 8TH ST,701 1/2 MOLLBORE TER
MOLLBORE TERRACE PARK,1226 MOLLBORE TER
MOLLY'S CHILD CARE CENTER,1612 MCKEAN ST
MONASTERY OUR LADY OF MERCY,6398 DREXEL RD
MONASTERY SHED,1024 KITCHENS LN
MONELL CHEMICAL SENSES CENTER,3520-50 MARKET ST
MONKEY JUNCTION,3400 W GIRARD AVE
MONKIEWICZ PLAYGROUND,3201 RICHMOND ST
MONKIEWICZ PLAYGROUND BUILDING,3201 RICHMOND ST
MONTESSORI GENESIS II ELEMENTARY SCHOOL,3529 HAVERFORD AVE
MONTGOMERY & CROSKEY PLAYGROUND,2225-37 W MONTGOMERY AVE
MONTGOMERY AVENUE PARKING GARAGE,1801 N BROAD ST
MONTGOMERY EARLY LEARNING CENTERS,3939-49 WARREN ST
MONUMENT TO SIX MILLION JEWISH MARTYRS,1619-25 ARCH ST
MONUMENTAL BAPTIST CHURCH,241 S 50TH ST
MOOR ST PLAYGROUND,3143 W PASSYUNK AVE
MOORE COLLEGE OF ART & DESIGN,1920-34 RACE ST
MOORE HALL,5700-30 CITY AVE
MOORE SCHOOL,3401-99 SPRUCE ST
MOORE ST FIELDS,1800 S 25TH ST
MOORE'S MEMORIAL BAPTIST,1421-25 W DAUPHIN ST
MORRELL PARK CENTER,3800-28 MORRELL AVE
MORGAN BUILDING,3401-99 SPRUCE ST
MORNING STAR CHURCH OF GOD,2326 N 31ST ST
MORRELL PLAZA,9910 FRANKFORD AVE
MORRIS ARBORETUM OF THE UNIVERSITY OF PENNSYLVANIA,100 E NORTHWESTERN AVE
MORRIS BROWN AME CHURCH,1756-64 N 25TH ST
MORRIS CHAPEL BAPTIST CHURCH,1127 W LEHIGH AVE
MORRIS E. LEEDS MIDDLE SCHOOL,1100 E MOUNT PLEASANT AVE
MORRIS ESTATE RECREATION CENTER,1610 CHELTEN AVE
MORRIS ESTATE RECREATION CENTER BUILDING,1610 CHELTEN AVE
MORRIS PARK,68TH ST & LANSDOWNE AVE
MORTON MCMICHAEL,LEMON HILL DR
MORTON MCMICHAEL SCHOOL,700 N 35TH ST
MORTON PLAYGROUND,88 E HAINES ST
MORTON PLAYGROUND BUILDING 1,88 E HAINES ST
MOSAIC COMMUNITY CHURCH,123-25 S 51ST ST
MOSS PLAYGROUND,5700 TORRESDALE AVE
MOSS PLAYGROUND BUILDING 2,5700 TORRESDALE AVE
MOTHER BETHEL A.M.E. CHURCH,419-23 S 6TH ST
MOTHER OF DIVINE GRACE CHURCH,2904-08 E THOMPSON ST
MOTHER OF DIVINE GRACE SCHOOL,2612 E MONMOUTH ST
MOTHER OF PEACE AREA CATHOLIC SCHOOL/ST BARNABAS MARY SCHOOL,6300 BUIST AVE
MOTT HALL,3300 W SCHOOL HOUSE LN
MOUNT AIRY PLAYGROUND BUILDING,7001 GERMANTOWN AVE
MOUNT CARMEL CEMETERY,5701 FRANKFORD AVE
MOUNT MORIAH CEMETERY,1801 CEMETERY AVE
MOUNT PEACE CEMETERY,3101 W LEHIGH AVE
MOUNT SINAI CEMETERY,1905 BRIDGE ST
MOUNT SINAI HOLY CHURCH OF AMERICAN,2100 CATHARINE ST
MOUNT VERNON CEMETERY,3301 W LEHIGH AVE
MOUNTAIN OF FIRE MINISTRIES,2052R S 61ST ST
MOUNTED AMAZON ATTACKED BY PANTHER,2500 SPRING GARDEN ST
MS DANA'S HOME CARE FOR CHILDREN,2537 W LEHIGH AVE
MT AIRY ANIMAL HOSPITAL,148-54 E MOUNT AIRY AVE
MT AIRY BAPTIST CHURCH,2012 69TH AVE
MT AIRY BAPTIST CHURCH CHILD CARE,6828 OGONTZ AVE
MT AIRY CHRISTIAN DAY SCHOOL PRE-SCHOOL,6401 OGONTZ AVE
MT AIRY CHURCH OF GOD,603 E SEDGWICK ST
MT AIRY CHURCH OF GOD IN CHRIST,6401 OGONTZ AVE
MT AIRY LEARNING TREE,6601 GREENE ST
MT AIRY PLAYGROUND,7001 GERMANTOWN AVE
MT AIRY PRESBYTERIAN CHURCH,7111-13 GERMANTOWN AVE
MT AIRY UNITED METHODIST,701 W JOHNSON ST
MT CALVARY,2841 GERMANTOWN AVE
MT CALVARY BAPTIST CHURCH,1006-10 W YORK ST
MT CALVARY HOLY CHURCH,5944 CATHARINE ST
MT CALVARY PENTECOSTAL CHURCH,2512 N BROAD ST
MT CALVARY TEMPLE,6080 KINGSESSING AVE
MT CARMEL APOSTOLIC CHURCH,1116 W HUNTINGDON ST
MT CARMEL BAPTIST CHURCH,5728-48 RACE ST
MT CARMEL UNITED METHODIST CHURCH,5901-07 N PARK AVE
MT DEBORAH CHURCH,4074-86 HAVERFORD AVE
MT ENON BAPTIST CHURCH,500 SNYDER AVE
MT HEBRON BAPTIST CHURCH,1409-17 WHARTON ST
MT LEBANON BAPTIST CHURCH,2910-18 DIAMOND ST
MT MORIAH BAPTIST CHURCH,5331-35 PULASKI AVE
MT MORIAH CHURCH,6840 PASCHALL AVE
MT MORIAH PENTECOSTAL CHURCH,7907-17 STENTON AVE
MT MORIAH TEMPLE BAPTIST CHURCH,410-14 WHARTON ST
MT OLIVE BAPTIST CHURCH,5501 LOCUST ST
MT OLIVE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,2039-43 W TORONTO ST
MT OLIVE HOLY TEMPLE,1451-57 N BROAD ST
MT OLIVES CHURCH OF GOD,4217-27 PAUL ST
MT OLIVET CHURCH,1638 REED ST
MT OLIVET TABERNACLE BAPTIST,647-59 N 42ND ST
MT PISGAH AME CHURCH,432 N 41ST ST
MT PLEASANT BAPTIST CHURCH,5539-51 VINE ST
MT PLEASANT GARDEN,3800 MOUNT PLEASANT DR
MT PLEASANT MEMORIAL BAPTIST,5811 GERMANTOWN AVE
MT PLEASANT PRIMITIVE BAPTIST CHURCH,435-41 N 38TH ST
MT SINAI BAPTIST CHURCH,1228 S 21ST ST
MT SINAI CHURCH OF GOD-CHRIST,7282-86 WOODLAND AVE
MT SINAI TABERNACLE BAPTIST CHURCH,2737 W LEHIGH AVE
MT TABOR AME CHURCH,961-71 N 7TH ST
MT TABOR BAPTIST CHURCH,62 W RITTENHOUSE ST
MT VERNON BAPTIST CHURCH,454-58 E RITTENHOUSE ST
MT ZION APOSTOLIC CHURCH,3507-23 N HOWARD ST
MT ZION BAPTIST CHURCH,1411 S 50TH ST
MT ZION BAPTIST CHURCH,5003 WOODLAND AVE
MT ZION BAPTIST CHURCH,8101 ERDRICK ST
MT ZION CHURCH OF KENSINGTON,1827-33 E SOMERSET ST
MT ZION HOLINESS BAPTIST CHURCH,2018 TITAN ST
MT ZION HOLY CHURCH,742 BROOKLYN ST
MT ZION HOLY TABERNACLE,1608-10 W THOMPSON ST
"MT ZION PENTECOSTAL CHURCH 1ST BORN OF THE LIVING GOD, INC",1224-28 POINT BREEZE AVE
MT ZION PENTECOSTAL FAITH CHURCH,4960-64 MASTER ST
MT ZION PENTECOSTAL HOLINESS CHURCH,2505 JEFFERSON ST
MT ZION UNITED AFRICAN CHURCH OF THE UNITED BRETHREN IN CHRIST,1453-55 N 52ND ST
MT. CALVARY HOLINESS,1438-42 S 51ST ST
MT. CARMEL PRAY CHURCH,6122-24 N LAMBERT ST
MT. EPHRAIM BAPTIST CHURCH,2201 W TIOGA ST
MT. PLEASANT MEDICAL CENTER,8125 STENTON AVE
MT. ZION BAPTIST CHURCH,37 W RITTENHOUSE ST
MT. ZION BAPTIST CHURCH EDUCATIONAL CENTER,29 W RITTENHOUSE ST
MT. ZION FIRE BAPTIZED HOLINESS CHURCH,100 DUPONT ST
MT. ZION UNITED METHODIST CHURCH,1530-38 N 11TH ST
MUHAMMAD MOSQUE #12 NATION OF ISLAM,2512 N BROAD ST
MUHAMMAD'S TEMPLE OF ISLAM #12,2723-25 JEFFERSON ST
MULLIN PLAYGROUND,4301 PRINCETON AVE
MULLIN PLAYGROUND BUILDING,4301 PRINCETON AVE
MULTI-CULTURAL ACADEMY CHARTER SCHOOL HIGH SCHOOL,3821-33 N BROAD ST
MULTICULTURAL AND INTERNATIONAL CENTER,625-35 E WISTER ST
MUMMERS MUSEUM,200-10 WASHINGTON AVE
MUNICIPAL SERVICES BUILDING (MSB),1400-30 ARCH ST
MUNOZ-MARIN LUIS SCHOOL,3300 N 3RD ST
MURPHY RECREATION CENTER,300 SHUNK ST
MURPHY RECREATION CENTER BUILDING,300 SHUNK ST
MURRELL (CTE) DOBBINS HIGH SCHOOL,2100-50 W LEHIGH AVE
MUSEUM OF AMERICAN JEWISH HISTORY,101 S INDEPENDENCE MALL E
MUSEUM OF ARCHAEOLOGY AND ANTHROPOLOGY,3401-99 SPRUCE ST
MUSEUM OF ART,2500 SPRING GARDEN ST
MUSEUM OF NURSING HISTORY,625-35 E WISTER ST
MUSLIM AMERICAN SOCIETY,123 E LUZERNE ST
MYER FEINSTEIN POLYCLINIC,222-48 N BROAD ST
MYERS RECREATION CENTER,5800 CHESTER AVE
MUTTER MUSEUM,15-19 S 22ND ST
NCC NEUMANN SENIOR HOUSING,1601 E PALMER ST
NE PHILADELPHIA CHURCH OF CHRIST,3201 PRIMROSE RD
NHS SCHOOL ST. ANNE'S,2332 E LEHIGH AVE
NADIA'S LITTLE LEARNERS CHILDCARE CENTER,4255 RIDGE AVE
NARCOTICS BUREAU,5200 WISSAHICKON AVE
NASIR MOSQUE,5120 N 10TH ST
NATIONAL CONSTITUTION CENTER,501 ARCH ST
NATIONAL LIBERTY MUSEUM,321-23 CHESTNUT ST
NATIONAL TEMPLE BAPTIST CHURCH,1618 MASTER ST
NATIONAL TEMPLE CHURCH OF THE LIVING GOD,5727-35 W THOMPSON ST
NATIONAL TEMPLE PENECOSTAL CHURCH,4100 W GIRARD AVE
NATIVE AMERICAN CHURCH,3150 FRANKFORD AVE
NATIVITY BVM CHURCH,3200 BELGRADE ST
NATIVITY SCHOOL,3200 BELGRADE ST
NAVIGATOR HALL,2035 S COLLEGE AVE
NAZARENE BAPTIST CHURCH,3965-69 GERMANTOWN AVE
NAZARETH ACADEMY GRADE SCHOOL,4701 GRANT AVE
NAZARETH ACADEMY HIGH SCHOOL,4001 GRANT AVE
NAZARETH HOSPITAL,2601 HOLME AVE
NEIGHBORHOOD BAPTIST CHURCH,1237 W WILLIAM ST
NEIGHBORHOOD HOUSE,20 N AMERICAN ST
NELSON PLAYGROUND,2500-34 N 3RD ST
NELSON PLAYGROUND BUILDING,2500-34 N 3RD ST
NELSONS ACADEMY KINDERGARTEN,5520 BALTIMORE AVE
NER ZEDEK EZRATH ISRAEL TEMPLE,7524 BUSTLETON AVE
NEST INTERNATIONAL CHRISTIAN ACADEMY PRE-K,1001 70TH AVE
NEUMANN HALL,9701 GERMANTOWN AVE
NEUMANN NORTH,1741 FRANKFORD AVE
NEUROBIOLOGY AND ANATOMY,2900 W QUEEN LN
NEVIL BUILDING,800-34 WALNUT ST
NEW AFRICA CENTER,4243 LANCASTER AVE
NEW ANTIOCH BAPTIST CHURCH,1244 S 22ND ST
NEW APOSTOLIC CHURCH,1200 E CAYUGA ST
NEW BEGINNINGS CHRISTIAN CHURCH,5223-29 BELFIELD AVE
NEW BEGINNINGS COMMUNITY BAPTIST CHURCH,897 BRIDGE ST
NEW BEGINNINGS PENTECOSTAL CHURCH,500-02 E HAINES ST
NEW BEGINNINGS SANCTUARY OF PRAISE CHURCH OF GOD IN CHRIST,317-19 N 52ND ST
NEW BETHANY BAPTIST CHURCH,1415-17 S 23RD ST
NEW BETHEL CHURCH OF GOD IN CHRIST,351 E ARMAT ST
NEW BETHLEHEM BAPTIST CHURCH,4052 ASPEN ST
NEW BIRTH BAPTIST CHURCH,1710-12 S 20TH ST
NEW BIRTH PROGRESSIVE PRIMITIVE BAPTIST CHURCH,2118-26 W CLEARFIELD ST
NEW BIRTHING WORSHIP CENTER,5949-51 SPRUCE ST
NEW CALVARY BAPTIST CHURCH,2431 N 5TH ST
NEW CATHEDRAL CEMETERY,3950 N FRONT ST
NEW CENTRAL BAPTIST CHURCH,2127-39 LOMBARD ST
NEW COLLEGE BUILDING,222-48 N BROAD ST
NEW COLLEGE HOUSE,3401-99 SPRUCE ST
NEW COVENANT BAPTIST CHURCH,5250 WAYNE AVE
NEW COVENANT CHURCH OF PHILADELPHIA,7406 GERMANTOWN AVE
NEW COVENANT HIGH SCHOOL,7406 GERMANTOWN AVE
NEW CREATION LUTHERAN CHURCH,162-66 W TIOGA ST
NEW DAY SPRING BAPTIST CHURCH,1621-23 BAINBRIDGE ST
NEW ERA BAPTIST CHURCH,6618 WYNCOTE AVE
NEW FAITH UNITED BAPTIST CHURCH,1725 CHURCH LN
NEW FELLOWSHIP MISSIONARY BAPTIST,7005 WOODLAND AVE
NEW FOUNDATIONS CHARTER SCHOOL,8001-25 TORRESDALE AVE
NEW GENERARTION COMMUNITY CHURCH,1024 COTTMAN AVE
NEW GENERATION CHURCH,1423-25 N BOUVIER ST
NEW GETHSEMANE BAPTIST CHURCH,1274 S 23RD ST
NEW GETHSEMANE BAPTIST CHURCH,917 E CHELTEN AVE
NEW GREATER STRAIGHTAWAY CHURCH,1705-13 N 7TH ST
NEW GREENWICH LIGHT BAPTIST CHURCH,131 OREGON AVE
NEW HALL MILITARY MUSEUM,301-43 WALNUT ST
NEW HERITAGE DELIVERANCE CHURCH OF GOD IN CHRIST,510-12 S 52ND ST
NEW HOPE BAPTIST CHURCH,5950 IRVING ST
NEW HOPE BAPTIST CHURCH,711-15 S 12TH ST
NEW HOPE BIBLE DELIVERANCE MINISTRIES,1235 N 19TH ST
NEW HOPE CHRISTIAN ACADEMY,2640-46 N 15TH ST
NEW HOPE CHURCH OF DELIVERANCE,1300 S 22ND ST
NEW HOPE TEMPLE BAPTIST CHURCH,300-16 MANHEIM ST
NEW HORIZON BAPTIST CHURCH,5532 RISING SUN AVE
NEW INSPIRATIONAL BAPTIST CHURCH,1907-09 W CAYUGA ST
NEW JERUSALEM BAPTIST CHURCH,2111-19 DIAMOND ST
NEW JERUSALEM CHURCH,14 E CLAPIER ST
NEW JOY MISSIONARY BAPTIST CHURCH,2314-16 W ALLEGHENY AVE
NEW KINGDOM BAPTIST CHURCH,2445-51 MASCHER ST
NEW LIFE ALTERNATIVES CHRISTIAN ACADEMY ELEMENTARY SCHOOL,1995 N 63RD ST
NEW LIFE CHURCH OF GOD,1034-36 RISING SUN AVE
NEW LIFE CHURCH-PHILADELPHIA,435 E ROOSEVELT BLVD
NEW LIFE IN CHRIST MISSION,458 N 52ND ST
NEW LIFE MINISTRIES,5401 SPRINGFIELD AVE
NEW LIFE MISSIONARY BAPTIST CHURCH,5615 SPRUCE ST
NEW LIFE MISSIONARY FREE WILL CHURCH,2450-54 W SERGEANT ST
NEW LIFE SDA CHURCH,4727 N BROAD ST
NEW LIFE TABERNACLE CHURCH,4234 OGDEN ST
NEW LIFE UNITED BRETHREN CHURCH,5347 N 2ND ST
NEW LIFE OF HOPE CHURCH,2516-20 W LEHIGH AVE
NEW LIGHT BEULAH BAPTIST CHURCH,1701-11 BAINBRIDGE ST
NEW MACEDONIA BAPTIST CHURCH,1639 S 20TH ST
NEW MACEDONIA BAPTIST CHURCH,869-79 CORINTHIAN AVE
NEW MEDIA TECHNOLOGY CHARTER SCHOOL,8032 THOURON AVE
